"","Species","Genus","Subspecies","ValidBinomial","Year"
"202847","hebe","Polyura",NA,"Polyura hebe",1866
"202857","hebe","Polyura","albanus","Polyura hebe",1895
"202858","hebe","Polyura","arnoldi","Polyura hebe",1899
"202859","hebe","Polyura","baweanicus","Polyura hebe",1906
"202860","hebe","Polyura","chersonesus","Polyura hebe",1898
"202861","hebe","Polyura","clavata","Polyura hebe",1918
"202862","hebe","Polyura","detanii","Polyura hebe",1987
"202863","hebe","Polyura","fallacides","Polyura hebe",1895
"202864","hebe","Polyura","fallax","Polyura hebe",1894
"202865","hebe","Polyura","ganymedes","Polyura hebe",1886
"202866","hebe","Polyura","herois","Polyura hebe",1991
"202867","hebe","Polyura","kangeanus","Polyura hebe",1903
