"","Species","Genus","Subspecies","ValidBinomial","Year"
"201314","escheri","Polyommatus","splendens","Polyommatus escheri",1904
"201318","eumedon","Eumedonia",NA,"Eumedonia eumedon",1780
"201322","everesti","Polyommatus",NA,"Polyommatus everesti",1923
"201328","fabiani","Polyommatus",NA,"Polyommatus fabiani",1997
"201330","fabressei","Polyommatus",NA,"Polyommatus fabressei",1910
"201333","faramarzii","Polyommatus",NA,"Polyommatus faramarzii",2001
"201336","faxiani","Polyommatus",NA,"Polyommatus faxiani",2000
"201344","firdussii","Polyommatus",NA,"Polyommatus firdussii",1956
"201352","firdussii","Polyommatus","ernesti","Polyommatus firdussii",1997
"201353","firdussii","Polyommatus","maraschi","Polyommatus firdussii",1956
"201354","firdussii","Polyommatus","pseudactis","Polyommatus firdussii",1960
"201355","firdussii","Polyommatus","sertavulensis","Polyommatus firdussii",1979
"201360","forresti","Polyommatus",NA,"Polyommatus forresti",1992
"201362","forsteri","Polyommatus",NA,"Polyommatus forsteri",1938
"201364","fraterluci","Polyommatus",NA,"Polyommatus fraterluci",1995
"201365","frauvartianae","Polyommatus",NA,"Polyommatus frauvartianae",1997
"201369","fulgens","Polyommatus",NA,"Polyommatus fulgens",1925
"201371","fulgens","Polyommatus","pseudovirgilia","Polyommatus fulgens",1962
"201383","gandzhana","Polyommatus",NA,"Polyommatus gandzhana",1936
"201390","glaucias","Polyommatus",NA,"Polyommatus glaucias",1870
"201397","golgus","Polyommatus",NA,"Polyommatus golgus",1813
"201400","golgus","Polyommatus","sagratrox","Polyommatus golgus",1986
"201403","gorbunovi","Polyommatus",NA,"Polyommatus gorbunovi",1994
"201408","guezelmavi","Polyommatus",NA,"Polyommatus guezelmavi",1999
"201412","haigi","Polyommatus",NA,"Polyommatus haigi",2002
"201415","hamadanensis","Polyommatus",NA,"Polyommatus hamadanensis",1959
"201430","hopfferi","Polyommatus",NA,"Polyommatus hopfferi",1851
"201435","huberti","Polyommatus",NA,"Polyommatus huberti",1993
"201438","humedasae","Polyommatus",NA,"Polyommatus humedasae",1976
"201445","hypanica","Polyommatus",NA,"Polyommatus hypanica",1936
"201448","hyrsyz","Polyommatus",NA,"Polyommatus hyrsyz",2001
"201449","icadius","Polyommatus",NA,"Polyommatus icadius",1890
"201463","icadius","Polyommatus","candidus","Polyommatus icadius",2000
"201464","icadius","Polyommatus","cicero","Polyommatus icadius",2000
"201465","icadius","Polyommatus","fominae","Polyommatus icadius",2005
"201467","icarus","Polyommatus",NA,"Polyommatus icarus",1775
"201576","icarus","Polyommatus","ammosovi","Polyommatus icarus",1970
"201577","icarus","Polyommatus","effatus","Polyommatus icarus",2008
"201578","icarus","Polyommatus","fuchsi","Polyommatus icarus",1928
"201579","icarus","Polyommatus","fugitiva","Polyommatus icarus",1881
"201580","icarus","Polyommatus","juno","Polyommatus icarus",1933
"201581","icarus","Polyommatus","korshunovi","Polyommatus icarus",1995
"201582","icarus","Polyommatus","mariscolore","Polyommatus icarus",1893
"201583","icarus","Polyommatus","omelkoi","Polyommatus icarus",1995
"201584","icarus","Polyommatus","tumangensis","Polyommatus icarus",1988
"201586","igisizilim","Polyommatus",NA,"Polyommatus igisizilim",2001
"201596","interjectus","Polyommatus",NA,"Polyommatus interjectus",1960
"201600","iphidamon","Polyommatus",NA,"Polyommatus iphidamon",1899
"201602","iphigenia","Polyommatus",NA,"Polyommatus iphigenia",1847
"201618","iphigenia","Polyommatus","araratensis","Polyommatus iphigenia",1958
"201619","iphigenia","Polyommatus","barthae","Polyommatus iphigenia",1932
"201620","iphigenia","Polyommatus","iphicarmon","Polyommatus iphigenia",1993
"201621","iphigenia","Polyommatus","manuelae","Polyommatus iphigenia",2013
"201622","iphigenia","Polyommatus","nonacriensis","Polyommatus iphigenia",1977
"201623","iphigenides","Polyommatus",NA,"Polyommatus iphigenides",1886
"201631","iphigenides","Polyommatus","alajanus","Polyommatus iphigenides",1997
"201632","iphigenides","Polyommatus","ishkashimicus","Polyommatus iphigenides",1986
"201633","iphigenides","Polyommatus","karatavica","Polyommatus iphigenides",1990
"201634","iphigenides","Polyommatus","melania","Polyommatus iphigenides",1886
"201650","juldusa","Polyommatus",NA,"Polyommatus juldusa",1886
"201657","juldusa","Polyommatus","gorthaur","Polyommatus juldusa",2009
"201658","juldusa","Polyommatus","kasachstanus","Polyommatus juldusa",1994
"201659","juldusa","Polyommatus","khamul","Polyommatus juldusa",2009
"201660","juldusa","Polyommatus","kirgisorum","Polyommatus juldusa",1994
"201661","juldusa","Polyommatus","rueckbeili","Polyommatus juldusa",1960
"201662","juldusa","Polyommatus","tianchinensis","Polyommatus juldusa",2013
"201668","karinda","Polyommatus",NA,"Polyommatus karinda",1921
"201670","karinda","Polyommatus","saravandi","Polyommatus karinda",2015
"201674","kashani","Polyommatus",NA,"Polyommatus kashani",2013
"201676","kashgharensis","Polyommatus",NA,"Polyommatus kashgharensis",1878
"201688","kashgharensis","Polyommatus","balletto","Polyommatus kashgharensis",1996
"201689","kashgharensis","Polyommatus","szabokyi","Polyommatus kashgharensis",1990
"201690","kashgharensis","Polyommatus","turanica","Polyommatus kashgharensis",1895
"201694","kendevani","Polyommatus",NA,"Polyommatus kendevani",1956
"201696","kendevani","Polyommatus","pseudoxerxes","Polyommatus kendevani",1956
"201699","khorasanensis","Polyommatus",NA,"Polyommatus khorasanensis",2001
"201702","klausschuriani","Polyommatus",NA,"Polyommatus klausschuriani",1999
"201713","kurdistanica","Polyommatus",NA,"Polyommatus kurdistanica",1961
"201715","kuronjerus","Polyommatus",NA,"Polyommatus kuronjerus",2011
"201727","laziensis","Polyommatus",NA,"Polyommatus laziensis",1998
"201736","lori","Polyommatus",NA,"Polyommatus lori",2013
"201738","lucetta","Polyommatus",NA,"Polyommatus lucetta",1915
"201741","lukhtanovi","Polyommatus",NA,"Polyommatus lukhtanovi",2005
"201750","lycius","Polyommatus",NA,"Polyommatus lycius",1996
"201756","magnifica","Polyommatus",NA,"Polyommatus magnifica",1885
"201763","marcida","Polyommatus",NA,"Polyommatus marcida",1870
"201765","marcida","Polyommatus","parameleager","Polyommatus marcida",1936
"201777","mediator","Polyommatus",NA,"Polyommatus mediator",2003
"201778","mediator","Polyommatus","habievi","Polyommatus mediator",2004
"201784","meleager","Polyommatus",NA,"Polyommatus meleager",1778
"201789","meleager","Polyommatus","narsana","Polyommatus meleager",1973
"201791","menalcas","Polyommatus",NA,"Polyommatus menalcas",1837
"201805","mithridates","Polyommatus",NA,"Polyommatus mithridates",1878
"201809","mithridates","Polyommatus","saetosus","Polyommatus mithridates",1932
"201810","mofidii","Polyommatus",NA,"Polyommatus mofidii",1963
"201812","mofidii","Polyommatus","sorkhensis","Polyommatus mofidii",2003
"201817","morgani","Polyommatus",NA,"Polyommatus morgani",1909
"201818","morgani","Polyommatus","sanandajensis","Polyommatus morgani",2003
"201819","morgani","Polyommatus","sennanensis","Polyommatus morgani",1959
"201821","muellerae","Polyommatus",NA,"Polyommatus muellerae",1997
"201822","muetingi","Polyommatus",NA,"Polyommatus muetingi",1992
"201824","musa","Polyommatus",NA,"Polyommatus musa",1996
"201826","musa","Polyommatus","esfahensis","Polyommatus musa",2000
"201827","myrrha","Polyommatus",NA,"Polyommatus myrrha",1851
"201838","myrrha","Polyommatus","bahramii","Polyommatus myrrha",2005
"201839","myrrha","Polyommatus","cinyraea","Polyommatus myrrha",1979
"201840","myrrha","Polyommatus","garrina","Polyommatus myrrha",2005
"201841","myrrha","Polyommatus","hakkariensis","Polyommatus myrrha",1977
"201842","nadira","Polyommatus",NA,"Polyommatus nadira",1884
"201843","namjagbarwanus","Polyommatus",NA,"Polyommatus namjagbarwanus",1999
"201845","napaea","Polyommatus",NA,"Polyommatus napaea",1891
"201857","nephohiptamenos","Polyommatus",NA,"Polyommatus nephohiptamenos",1978
"201867","ninae","Polyommatus",NA,"Polyommatus ninae",1956
"201877","nivescens","Polyommatus",NA,"Polyommatus nivescens",1851
"201891","omotoi","Polyommatus",NA,"Polyommatus omotoi",1972
"201910","paulae","Polyommatus",NA,"Polyommatus paulae",2004
"201913","peilei","Polyommatus",NA,"Polyommatus peilei",1921
"201919","pfeifferi","Polyommatus",NA,"Polyommatus pfeifferi",1938
"201921","pfeifferi","Polyommatus","astyages","Polyommatus pfeifferi",2001
"201922","pfeifferi","Polyommatus","eclidius","Polyommatus pfeifferi",2002
