accid,canonical,taxonRank,status,authorship,id,group
0,Acromyrmex_octospinosus_inti,species,accepted,"Wheeler, 1937",430329,ants
0,Acromyrmex_landolti,species,accepted,"(Forel, 1885)",430332,ants
0,Acromyrmex_laticeps,species,accepted,"(Emery, 1905)",430333,ants
0,Acromyrmex_lobicornis,species,accepted,"(Emery, 1888)",430335,ants
0,Acromyrmex_lundii,species,accepted,"(Guerin-Meneville, 1838)",430336,ants
0,Acromyrmex_subterraneus_molestans,species,accepted,"Santschi, 1925",430345,ants
0,Acromyrmex_balzani_multituber,species,accepted,"Santschi, 1922",430346,ants
0,Acromyrmex_niger,species,accepted,"(Smith, 1858)",430350,ants
0,Acromyrmex_nigrosetosus,species,accepted,"(Forel, 1908)",430352,ants
0,Acromyrmex_nobilis,species,accepted,"Santschi, 1939",430354,ants
0,Acromyrmex_octospinosus,species,accepted,"(Reich, 1793)",430357,ants
0,Acromyrmex_coronatus_panamensis,species,accepted,"(Forel, 1899)",430363,ants
0,Acromyrmex_lundii_parallelus,species,accepted,"Santschi, 1916",430364,ants
0,Acromyrmex_lobicornis_pencosensis,species,accepted,"Forel, 1914",430366,ants
0,Acromyrmex_lobicornis_pruinosior,species,accepted,"Santschi, 1916",430369,ants
0,Acromyrmex_pubescens,species,accepted,"(Emery, 1905)",430370,ants
0,Acromyrmex_pulvereus,species,accepted,"Santschi, 1919",430372,ants
0,Acromyrmex_coronatus_rectispinus,species,accepted,"(Forel, 1908)",430374,ants
0,Acromyrmex_rugosus_rochai,species,accepted,"(Forel, 1904)",430376,ants
0,Acromyrmex_rugosus,species,accepted,"(Smith, 1858)",430379,ants
0,Acromyrmex_silvestrii,species,accepted,"(Emery, 1905)",430383,ants
0,Acromyrmex_striatus,species,accepted,"(Roger, 1863)",430384,ants
0,Acromyrmex_subterraneus,species,accepted,"(Forel, 1893)",430385,ants
0,Acromyrmex_versicolor,species,accepted,"(Pergande, 1893)",430386,ants
0,Acromyrmex_volcanus,species,accepted,"Wheeler, 1937",430388,ants
0,Acropyga_acutiventris,species,accepted,"Roger, 1862",430389,ants
0,Acropyga_ambigua,species,accepted,"Emery, 1922",430390,ants
0,Acropyga_arnoldi,species,accepted,"Santschi, 1926",430392,ants
0,Acropyga_ayanganna,species,accepted,"LaPolla, 2004",430394,ants
0,Acropyga_bakwele,species,accepted,"LaPolla & Fisher, 2005",430395,ants
0,Acropyga_butteli,species,accepted,"Forel, 1912",430401,ants
0,Acropyga_decedens,species,accepted,"(Mayr, 1887)",430405,ants
0,Acropyga_donisthorpei,species,accepted,"Weber, 1944",430407,ants
0,Acropyga_dubia,species,accepted,"Karavaiev, 1933",430408,ants
0,Acropyga_dubitata,species,accepted,"(Wheeler & Mann, 1914)",430409,ants
0,Acropyga_epedana,species,accepted,"Snelling, 1973",430410,ants
0,Acropyga_exsanguis,species,accepted,"(Wheeler, 1909)",430411,ants
0,Acropyga_fuhrmanni,species,accepted,"(Forel, 1914)",430413,ants
0,Acropyga_gelasis,species,accepted,"LaPolla, 2004",430414,ants
0,Acropyga_goeldii,species,accepted,"Forel, 1893",430416,ants
0,Acropyga_guianensis,species,accepted,"Weber, 1944",430419,ants
0,Acropyga_hirsutula,species,accepted,"LaPolla, 2004",430420,ants
0,Acropyga_hystrix,species,accepted,"LaPolla, 2004",430421,ants
0,Acropyga_inezae,species,accepted,"Forel, 1912",430424,ants
0,Acropyga_keira,species,accepted,"LaPolla, 2004",430428,ants
0,Acropyga_kinomurai,species,accepted,"Terayama & Hashimoto, 1996",430429,ants
0,Acropyga_lauta,species,accepted,"Mann, 1919",430430,ants
0,Acropyga_major,species,accepted,"Donisthorpe, 1949",430431,ants
0,Acropyga_myops,species,accepted,"Forel, 1910",430436,ants
0,Acropyga_nipponensis,species,accepted,"Terayama, 1985",430438,ants
0,Acropyga_oceanica,species,accepted,"Emery, 1900",430440,ants
0,Acropyga_palaga,species,accepted,"LaPolla, 2004",430444,ants
0,Acropyga_paleartica,species,accepted,"Menozzi, 1936",430445,ants
0,Acropyga_pallida,species,accepted,"(Donisthorpe, 1938)",430446,ants
0,Acropyga_panamensis,species,accepted,"Weber, 1944",430448,ants
0,Acropyga_parvidens,species,accepted,"(Wheeler & Mann, 1914)",430451,ants
0,Acropyga_romeo,species,accepted,"LaPolla, 2004",430456,ants
0,Acropyga_rubescens,species,accepted,"Forel, 1894",430458,ants
0,Acropyga_sauteri,species,accepted,"Forel, 1912",430460,ants
0,Acropyga_silvestrii,species,accepted,"Emery, 1915",430462,ants
0,Acropyga_smithii,species,accepted,"Forel, 1893",430464,ants
0,Acropyga_stenotes,species,accepted,"LaPolla, 2004",430465,ants
0,Acropyga_tricuspis,species,accepted,"LaPolla, 2004",430467,ants
0,Acropyga_yaeyamensis,species,accepted,"Terayama & Hashimoto, 1996",430473,ants
0,Acropyga_yushi,species,accepted,"Terayama, 2009",430475,ants
0,Adelomyrmex_betoi,species,accepted,"Fernandez, 2003",430476,ants
0,Adelomyrmex_biroi,species,accepted,"Emery, 1897",430477,ants
0,Adelomyrmex_brenesi,species,accepted,"Longino, 2006",430478,ants
0,Adelomyrmex_cristiani,species,accepted,"Fernandez, 2003",430480,ants
0,Adelomyrmex_costatus,species,accepted,"Fernandez, 2003",430481,ants
0,Adelomyrmex_foveolatus,species,accepted,"Fernandez, 2003",430482,ants
0,Adelomyrmex_grandis,species,accepted,"Fernandez, 2003",430483,ants
0,Adelomyrmex_hirsutus,species,accepted,"Mann, 1921",430484,ants
0,Adelomyrmex_laevigatus,species,accepted,"Mackay, 2003",430485,ants
0,Adelomyrmex_longinoi,species,accepted,"Fernandez, 2003",430486,ants
0,Adelomyrmex_mackayi,species,accepted,"Fernandez, 2003",430487,ants
0,Adelomyrmex_micans,species,accepted,"Fernandez, 2003",430488,ants
0,Adelomyrmex_microps,species,accepted,"Fernandez, 2003",430489,ants
0,Adelomyrmex_minimus,species,accepted,"Fernandez & Mackay, 2003",430490,ants
0,Adelomyrmex_myops,species,accepted,"(Wheeler, 1910)",430491,ants
0,Adelomyrmex_robustus,species,accepted,"Fernandez, 2003",430492,ants
0,Adelomyrmex_samoanus,species,accepted,"Wilson & Taylor, 1967",430493,ants
0,Adelomyrmex_silvestrii,species,accepted,"(Menozzi, 1931)",430494,ants
