"group","nbr_spp_col","nbr_spp_mol","prop_tot","prop_acc","prop_acc_syn","prop_no_match"
"dragonflies","5912","6322","45.91","81.73","87.6","2.84"
"mammals","6025","6533","20.59","84.1","89.29","2.62"
"ants","10198","15682","32.33","47.83","55.43","9.48"
"birds","10521","10824","22.09","85.33","95.38","1.02"
