"group","prop_tot","prop_acc","prop_acc_syn","prop_no_match","prop_no_possible_match"
"dragonflies","47.8","83.14","87.66","4.06","19.15"
"mammals","0","0","0","91.43","8.57"
"crabs","56.02","93.54","95.71","22.33","11.43"
"reptiles","0.37","1.32","1.34","46.74","29.38"
"ants","44.23","62.23","68.9","9.64","39.6"
"butterflies","35.4","34.41","63.66","35.2","2.41"
"birds","21.01","82.46","91.87","36.18","2.77"
