"group","spp_nbr","spp_nbr_2000","spp_nbr_2010","completeness_2dec","completeness_1dec"
"amphibians",8340,NA,NA,NA,NA
"ants",13860,3301,1754,24,13
"birds",10824,NA,NA,NA,NA
"butterflies",19290,1664,521,9,3
"cacti",2078,408,252,20,12
"conifers",680,43,18,6,3
"crabs",8931,1889,968,21,11
"daisies",35129,3575,1535,10,4
"dragonflies",6322,1051,619,17,10
"mammals",6533,738,415,11,6
"palms",2682,523,247,20,9
"reptiles",11570,2783,1755,24,15
