"group","nbr_spp_col","nbr_spp_mol","prop_tot","prop_acc","prop_acc_syn","prop_no_match"
"dragonflies","5912","6322","45.91","81.73","87.6","2.84"
"mammals","6025","6533","20.59","84.1","89.29","2.62"
"ants","10198","13856","35.25","54.13","62.68","9.52"
"butterflies","14689","19290","17.58","36.32","49.24","27.31"
"birds","10521","10824","22.09","85.33","95.38","1.02"
"amphibians","8054","8340","48.03","89.98","95.19","0.89"
"daisies","35677","35127","26.69","82.41","87.22","11.63"
