"group","nbr_spp_gbif","prop_tot","prop_acc","prop_acc_syn","prop_no_match"
"dragonflies","4312","35.48","64.1","66.21","0.4"
"mammals","4463","18.05","65.79","69.78","2.47"
"crabs","7515","36.55","62.44","65.11","1.76"
"reptiles","8864","23.04","74.96","79.95","0.21"
"ants","10339","33.79","56.32","60.01","1.63"
"butterflies","12575","13.15","29.19","33.22","2.43"
"birds","10299","31.83","85.59","92.39","1.61"
"amphibians","6406","28.5","73.38","77.25","0.68"
"daisies","29396","10.34","0","73.51","7.94"
