"group","prop_tot","prop_acc","prop_acc_syn","prop_acc_syn_ass","prop_no_match"
"dragonflies","46.24","90.53","91","65.87","0.16"
"mammals","20.24","84.62","89.14","77.48","1.36"
"crabs","5.97","9.41","10.71","6.07","6.74"
"reptiles","19.32","75.01","80.91","70.54","0.38"
"ants","0.44","0.57","0.8","0.8","8.72"
"butterflies","1.23","3.03","3.46","3.33","2.39"
"birds","21.12","90.96","97.16","96.75","3.67"
"amphibians","29.72","80.35","85.03","72.47","0.65"
"daisies","0.56","0","4.64","4.64","2"
