"group","nbr_spp","prop_no_match"
"dragonflies","6","0"
"mammals","1517","0.07"
"crabs","358","13.97"
"reptiles","784","0"
"ants","735","0.27"
"butterflies","57","3.51"
"birds","2376","0.17"
"amphibians","251","0"
"bees","1276","37.07"
"conifers","967","10.65"
"cacti","449","0"
"daisies","8072","1.81"
"palms","399","0.25"
