"species","species_uni","subspecies","subspecies_uni","syn_spp","syn_spp_uni","group"
"14771","14766","1786","1786","14853","14626","ants"
"19293","19293","20566","20566","113307","113249","butterflies"
"6533","6533","0","0","69948","28893","mammals"
"6322","6322","0","0","6188","6188","dragonflies"
"11570","11570","0","0","149383","46756","reptiles"
"10824","10824","0","0","186866","51303","birds"
"8340","8340","0","0","79575","24093","amphibians"
"35131","35131","9595","9595","338464","257677","daisies"
