"group","nbr_spp_gbif","prop_tot","prop_acc","prop_acc_syn","prop_no_match"
"dragonflies","4312","42.42","64.1","65.84","1.65"
"mammals","4463","18.54","65.79","69.77","2.53"
"crabs","7515","36.55","62.44","65.11","1.76"
"reptiles","8864","23.66","74.96","79.95","0.22"
"ants","10339","33.5","56.32","58.77","4.26"
"butterflies","12575","13.15","29.19","33.22","2.43"
"birds","10299","32.3","85.59","92.39","1.61"
"amphibians","6406","28.53","73.38","77.25","0.68"
"daisies","29396","11.44","0","73.51","7.94"
