"group","nbr_spp","prop_tot","prop_acc","prop_acc_syn","prop_no_match","prop_no_possible_match"
"dragonflies","6279","47.78","83.11","87.61","3.88","19.37"
"mammals","6848","18.19","63.07","66.94","16.25","22.75"
"crabs","0","NaN","NaN","NaN","NaN","NaN"
"reptiles","475","0.34","1.32","1.34","46.59","29.53"
"ants","14048","41.96","60.54","67.38","4.1","43.53"
"butterflies","62573","35.38","34.38","63.63","35.03","2.61"
"birds","16905","20.91","82.25","91.65","35.38","3.17"
"amphibians","8588","33.56","79.78","86.71","3.98","29.97"
"daisies","34881","8.79","0.06","66.06","24.04","3.28"
