"species","species_uni","subspecies","subspecies_uni","syn_spp","syn_spp_uni","group"
"14771","14766","1786","1786","16083","15856","ants"
"19293","19293","20566","20566","73448","73417","butterflies"
"6533","6533","0","0","69998","28863","mammals"
"6322","6322","0","0","6188","6188","dragonflies"
"15610","14960","578","499","149425","46727","reptiles"
"8340","8340","0","0","79545","24079","amphibians"
