"group","prop_tot","prop_acc","prop_acc_syn","prop_no_match","prop_no_possible_match"
"dragonflies","16.62","29.64","30.97","0.96","51.53"
"mammals","18.69","71.82","76.7","15.95","42.04"
"crabs","17.01","28.64","29.87","11.41","54.77"
"reptiles","21.28","68.38","72.89","1.69","27.99"
"ants","14.47","25.75","26.85","1.13","75.77"
"butterflies","19.25","46.71","48.55","28.06","24.66"
"birds","26.72","79.86","87.44","5.05","19.51"
"amphibians","27.54","67.84","72.11","2.92","46.42"
