"group","prop_tot","prop_acc","prop_acc_syn","prop_no_match","prop_no_possible_match"
"dragonflies","16.62","29.64","30.97","0.96","51.53"
"mammals","18.69","71.82","76.7","15.95","42.04"
"crabs","17.01","28.64","29.87","11.41","54.77"
"reptiles","21.28","68.38","72.89","1.69","27.99"
"ants","13.4","22.96","23.97","0.91","75.77"
"butterflies","13.63","31.4","32.93","14.78","24.66"
