"group","nbr_spp","prop_tot","prop_acc","prop_acc_syn","prop_no_match","prop_no_possible_match"
"dragonflies","6279","47.78","83.11","87.61","3.88","19.37"
"mammals","6848","18.14","63.07","66.87","16.49","22.75"
"crabs","0","NaN","NaN","NaN","NaN","NaN"
"reptiles","475","0.62","1.98","2","24.18","29.53"
"ants","14048","40.36","60.54","67.38","4.1","43.53"
"butterflies","62573","35.38","34.38","63.63","35.03","2.61"
"birds","16905","NaN","NaN","NaN","96.83","3.17"
"amphibians","8588","33.58","79.78","86.71","3.99","29.97"
"daisies","34881","8.79","0.06","66.06","24.04","3.28"
